Transaction_ID,Date,Customer_ID,Merchant_Name,Transaction_Amount,Payment_Method,Transaction_Status,Location
T1216,2025-02-18,C119,Swiggy,1858.79,Net Banking,Success,Kolkata
T1217,2025-02-18,C109,Flipkart,1522.35,Credit Card,Success,Chennai
T1218,2025-02-18,C172,BigBasket,4715.09,Net Banking,Failed,Kolkata
T1219,2025-02-18,C157,Myntra,1628.6,Credit Card,Success,Kolkata
T1220,2025-02-19,C119,BigBasket,3498.98,Credit Card,Success,Bangalore
T1221,2025-02-19,C156,Flipkart,1195.6,UPI,Success,Chennai
T1222,2025-02-19,C142,Flipkart,2294.19,Credit Card,Success,Delhi
T1223,2025-02-19,C171,BigBasket,3774.61,Net Banking,Success,Chennai
T1224,2025-02-19,C107,Amazon,2352.22,Net Banking,Success,Bangalore
T1225,2025-02-20,C140,Myntra,1344.73,Net Banking,Success,Kolkata
T1226,2025-02-20,C113,Swiggy,1642.92,Debit Card,Success,Mumbai
T1227,2025-02-20,C160,BigBasket,4530.78,Credit Card,Success,Kolkata
T1228,2025-02-20,C130,BigBasket,2106.39,Net Banking,Success,Delhi
T1229,2025-02-20,C155,BigBasket,3883.11,Net Banking,Success,Delhi
T1230,2025-02-21,C133,Myntra,91.95,Credit Card,Success,Mumbai
T1231,2025-02-21,C134,BigBasket,3997.08,Credit Card,Success,Mumbai
T1232,2025-02-21,C166,Myntra,2841.06,Credit Card,Success,Mumbai
T1233,2025-02-22,C107,BigBasket,3725.47,Net Banking,Success,Delhi
T1234,2025-02-22,C184,BigBasket,1380.15,Net Banking,Success,Bangalore
T1235,2025-02-22,C139,Amazon,4953.85,Net Banking,Failed,Delhi
T1236,2025-02-23,C176,Swiggy,3916.56,Debit Card,Success,Chennai
T1237,2025-02-23,C110,BigBasket,4040.53,Net Banking,Pending,Delhi
T1238,2025-02-23,C189,Myntra,3397.36,UPI,Success,Delhi
T1239,2025-02-23,C153,BigBasket,836.94,Net Banking,Pending,Chennai
T1240,2025-02-24,C122,Myntra,1096.51,UPI,Failed,Chennai
T1241,2025-02-24,C100,Swiggy,280.48,UPI,Success,Delhi
T1242,2025-02-24,C118,Swiggy,4970.09,Net Banking,Success,Bangalore
T1243,2025-02-24,C116,Myntra,2303.23,UPI,Success,Kolkata
T1244,2025-02-24,C169,Amazon,1250.0,UPI,Failed,Mumbai
T1245,2025-02-24,C152,Myntra,249.63,Debit Card,Success,Delhi
T1246,2025-02-24,C149,BigBasket,1068.63,Net Banking,Success,Delhi
T1247,2025-02-24,C177,Myntra,4760.73,Net Banking,Success,Bangalore
T1248,2025-02-24,C143,Swiggy,1827.6,UPI,Success,Chennai
T1249,2025-02-24,C163,BigBasket,1807.29,UPI,Failed,Delhi
T1250,2025-02-25,C139,Swiggy,4579.88,Net Banking,Success,Chennai
T1251,2025-02-25,C186,BigBasket,3517.78,Credit Card,Success,Bangalore
T1252,2025-02-25,C133,Myntra,469.52,Debit Card,Success,Chennai
T1253,2025-02-25,C137,Myntra,4175.15,Net Banking,Success,Kolkata
T1254,2025-02-26,C135,Swiggy,1508.02,Net Banking,Success,Kolkata
T1255,2025-02-26,C179,Swiggy,512.83,Debit Card,Pending,Delhi
T1256,2025-02-26,C178,Amazon,2244.99,Net Banking,Success,Chennai
T1257,2025-02-26,C135,Flipkart,3814.39,Net Banking,Success,Delhi
T1258,2025-02-26,C123,BigBasket,4206.67,Credit Card,Success,Bangalore
T1259,2025-02-26,C182,Myntra,4530.14,Debit Card,Failed,Mumbai
T1260,2025-02-26,C177,Myntra,416.13,UPI,Success,Chennai
T1261,2025-02-26,C184,Myntra,3790.27,Net Banking,Success,Kolkata
T1262,2025-02-26,C186,BigBasket,2676.02,Credit Card,Success,Delhi
T1263,2025-02-27,C165,BigBasket,3716.3,UPI,Success,Mumbai
T1264,2025-02-27,C110,Amazon,545.66,Credit Card,Success,Kolkata
T1265,2025-02-27,C147,BigBasket,2423.0,Debit Card,Success,Mumbai
T1266,2025-02-27,C116,BigBasket,3988.5,Credit Card,Success,Chennai
T1267,2025-02-27,C160,Swiggy,4306.81,Net Banking,Success,Bangalore
T1268,2025-02-28,C161,BigBasket,3108.28,Credit Card,Success,Mumbai
T1269,2025-02-28,C126,Flipkart,2524.3,Credit Card,Success,Mumbai
T1270,2025-02-28,C101,Amazon,3473.96,Credit Card,Success,Kolkata
T1271,2025-02-28,C103,Amazon,3590.42,Credit Card,Success,Delhi
T1272,2025-02-28,C129,Myntra,3448.5,Debit Card,Success,Kolkata
T1273,2025-03-01,C132,Swiggy,2782.79,Debit Card,Success,Delhi
T1274,2025-03-01,C171,BigBasket,643.57,Debit Card,Success,Kolkata
T1275,2025-03-01,C162,Amazon,2464.88,Debit Card,Success,Kolkata
T1276,2025-03-02,C112,Flipkart,863.66,UPI,Success,Chennai
T1277,2025-03-02,C159,Myntra,3208.99,Net Banking,Success,Bangalore
T1278,2025-03-02,C157,Flipkart,4294.55,Net Banking,Success,Bangalore
T1279,2025-03-02,C137,Myntra,3294.65,Net Banking,Success,Bangalore
T1280,2025-03-02,C140,Swiggy,3089.83,Net Banking,Success,Kolkata
T1281,2025-03-02,C136,Flipkart,725.85,Debit Card,Success,Chennai
T1282,2025-03-03,C142,Swiggy,1558.06,Debit Card,Success,Chennai
T1283,2025-03-03,C113,Myntra,1017.96,Net Banking,Success,Chennai
T1284,2025-03-03,C114,Myntra,921.7,Net Banking,Success,Delhi
T1285,2025-03-03,C160,Myntra,1396.18,Debit Card,Success,Kolkata
T1286,2025-03-03,C174,Swiggy,4454.28,UPI,Success,Delhi
T1287,2025-03-03,C179,Flipkart,3624.09,Debit Card,Success,Bangalore
T1288,2025-03-03,C155,Swiggy,615.32,Net Banking,Success,Chennai
T1289,2025-03-04,C132,Flipkart,3568.23,Debit Card,Success,Delhi
T1290,2025-03-04,C124,Swiggy,2490.76,Net Banking,Success,Bangalore
T1291,2025-03-04,C148,Myntra,2846.76,Debit Card,Success,Bangalore
T1292,2025-03-04,C190,Amazon,4712.52,Debit Card,Success,Delhi
T1293,2025-03-04,C178,Swiggy,435.54,UPI,Success,Delhi
T1294,2025-03-04,C181,Myntra,1960.39,Credit Card,Success,Mumbai
T1295,2025-03-04,C161,Myntra,4830.3,UPI,Success,Kolkata
T1296,2025-03-04,C174,Myntra,2816.31,Credit Card,Success,Kolkata
T1297,2025-03-04,C162,Flipkart,1043.32,UPI,Success,Chennai
T1298,2025-03-05,C150,BigBasket,557.01,Debit Card,Success,Bangalore
T1299,2025-03-05,C162,Swiggy,2218.92,Credit Card,Success,Kolkata
T1300,2025-03-05,C140,Flipkart,4822.88,Net Banking,Success,Chennai
T1301,2025-03-05,C136,Flipkart,2955.83,Debit Card,Success,Mumbai
T1302,2025-03-05,C155,Amazon,2500.1,UPI,Success,Chennai
T1303,2025-03-05,C170,Amazon,4103.88,Net Banking,Success,Chennai
T1304,2025-03-05,C153,Swiggy,4240.2,Credit Card,Failed,Mumbai
T1305,2025-03-05,C148,Flipkart,4920.31,Debit Card,Success,Bangalore
T1306,2025-03-05,C176,Myntra,4757.4,Net Banking,Failed,Mumbai
T1307,2025-03-05,C125,Flipkart,1406.4,Net Banking,Success,Kolkata
T1308,2025-03-06,C199,Myntra,2602.29,Net Banking,Success,Delhi
T1309,2025-03-06,C188,Myntra,3414.49,Net Banking,Success,Delhi
T1310,2025-03-06,C110,BigBasket,4484.04,Net Banking,Success,Delhi
T1311,2025-03-07,C153,Myntra,3430.56,Credit Card,Success,Delhi
T1312,2025-03-07,C167,Swiggy,2837.39,UPI,Success,Chennai
T1313,2025-03-08,C193,BigBasket,2860.71,Credit Card,Success,Bangalore
T1314,2025-03-08,C141,BigBasket,2313.74,UPI,Success,Bangalore
T1315,2025-03-08,C148,Swiggy,3984.49,UPI,Success,Kolkata
T1316,2025-03-08,C197,Swiggy,1908.52,Credit Card,Success,Kolkata
T1317,2025-03-08,C138,Flipkart,2612.86,Credit Card,Success,Delhi
T1318,2025-03-09,C181,BigBasket,1823.2,Debit Card,Success,Kolkata
T1319,2025-03-09,C112,BigBasket,1512.93,Net Banking,Success,Chennai
T1320,2025-03-09,C164,Myntra,1663.63,Debit Card,Success,Mumbai
T1321,2025-03-09,C173,Swiggy,2069.82,Debit Card,Success,Mumbai
T1322,2025-03-09,C104,BigBasket,1606.7,Net Banking,Success,Mumbai
T1323,2025-03-09,C158,Amazon,430.84,Net Banking,Success,Chennai
T1324,2025-03-09,C149,Swiggy,4597.91,Debit Card,Failed,Delhi
T1325,2025-03-09,C101,BigBasket,3186.46,Net Banking,Success,Bangalore
T1326,2025-03-09,C105,Myntra,3985.13,UPI,Success,Kolkata
T1327,2025-03-09,C151,Myntra,1492.67,Debit Card,Success,Mumbai
T1328,2025-03-09,C159,Myntra,1222.88,Net Banking,Success,Bangalore
T1329,2025-03-09,C118,Amazon,3886.81,Net Banking,Success,Mumbai
T1330,2025-03-10,C115,Flipkart,579.73,Net Banking,Success,Delhi
T1331,2025-03-10,C101,Myntra,1601.09,Debit Card,Success,Chennai
T1332,2025-03-10,C120,Swiggy,2664.39,UPI,Success,Kolkata
T1333,2025-03-10,C110,Myntra,3187.81,Net Banking,Success,Kolkata
T1334,2025-03-10,C109,Flipkart,584.77,Debit Card,Success,Bangalore
T1335,2025-03-11,C175,BigBasket,4246.94,Net Banking,Success,Bangalore
T1336,2025-03-11,C195,Swiggy,2356.97,Credit Card,Success,Chennai
T1337,2025-03-11,C151,Myntra,881.04,Net Banking,Success,Mumbai
T1338,2025-03-11,C171,Flipkart,4155.31,Credit Card,Success,Delhi
T1339,2025-03-11,C145,Amazon,3571.4,Net Banking,Success,Mumbai
T1340,2025-03-12,C180,Flipkart,2990.45,Net Banking,Success,Bangalore
T1341,2025-03-12,C163,BigBasket,1670.08,UPI,Success,Mumbai
T1342,2025-03-12,C184,Amazon,3635.31,Credit Card,Success,Delhi
T1343,2025-03-12,C108,Myntra,419.7,Debit Card,Success,Delhi
T1344,2025-03-12,C140,Amazon,1341.91,Debit Card,Success,Bangalore
T1345,2025-03-13,C167,Amazon,4847.05,Debit Card,Failed,Mumbai
T1346,2025-03-13,C197,Flipkart,3401.84,UPI,Success,Kolkata
T1347,2025-03-13,C180,Myntra,108.66,Debit Card,Success,Bangalore
T1348,2025-03-13,C194,Amazon,2098.95,Debit Card,Success,Bangalore
T1349,2025-03-13,C181,Swiggy,1420.99,UPI,Pending,Delhi
T1350,2025-03-13,C115,Amazon,470.66,Net Banking,Success,Delhi
T1351,2025-03-13,C112,Swiggy,1682.83,Debit Card,Success,Kolkata
T1352,2025-03-13,C109,Flipkart,2757.88,Credit Card,Success,Bangalore
T1353,2025-03-13,C128,Swiggy,4818.08,UPI,Success,Bangalore
T1354,2025-03-13,C199,Flipkart,940.09,Debit Card,Failed,Delhi
T1355,2025-03-14,C106,BigBasket,1180.6,UPI,Success,Chennai
T1356,2025-03-14,C173,Amazon,4150.98,Net Banking,Failed,Delhi
T1357,2025-03-14,C101,Swiggy,871.61,UPI,Success,Delhi
T1358,2025-03-15,C118,Swiggy,678.31,UPI,Success,Bangalore
T1359,2025-03-15,C156,Amazon,2662.19,Credit Card,Success,Mumbai
